Ano,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF,CPMF,COFINS,COFINS - FINANCEIRAS,COFINS - DEMAIS,CONTRIBUIÇÃO PARA O PIS/PASEP,CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS,CSLL,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS (parc. não dedutível),CIDE-COMBUSTÍVEIS,CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES,CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público,CONTRIBUICÕES PARA FUNDAF,REFIS,PAES,"RETENÇÃO NA FONTE - LEI 10.833, Art. 30",PAGAMENTO UNIFICADO,OUTRAS RECEITAS ADMINISTRADAS,DEMAIS RECEITAS,RECEITA PREVIDENCIÁRIA,RECEITA PREVIDENCIÁRIA - PRÓPRIA,RECEITA PREVIDENCIÁRIA - DEMAIS,ADMINISTRADAS POR OUTROS ÓRGÃOS
2001.0,AP,653490.0,0.0,4662096.0,23154.0,9012.0,284082.0,48088.0,4466300.0,162.0,8751723.0,22565794.0,1373046.0,34931.0,719105.0,1912.0,307034.0,0.0,46.0,20956608.0,0.0,0.0,7608602.0,0.0,0.0,5667229.0,0.0,0.0,0.0,0.0,41404573.0,0.0,4138.0,0.0,0.0,0.0,0.0,282211.0,0.0,0.0,0.0,0.0,0.0
2001.0,BA,211365712.0,4062223.0,60144432.0,128972414.0,135.0,313878145.0,274133815.0,75709472.0,28822266.0,214541561.0,339441744.0,205796968.0,199315835.0,44520893.0,44427913.0,8611083.0,0.0,173864304.0,1168509388.0,0.0,0.0,266438523.0,0.0,0.0,205524594.0,0.0,0.0,0.0,0.0,140007477.0,0.0,1788164.0,0.0,0.0,0.0,0.0,7801116.0,0.0,0.0,0.0,0.0,0.0
2001.0,CE,97978069.0,205147.0,51139941.0,43125892.0,453069.0,37545136.0,40617492.0,69294758.0,16853699.0,130112747.0,177731110.0,43692413.0,24889362.0,16197436.0,8131855.0,1885249.0,0.0,52065221.0,451066351.0,0.0,0.0,118668600.0,0.0,0.0,123046500.0,0.0,0.0,0.0,0.0,120750195.0,0.0,2267574.0,0.0,0.0,0.0,0.0,3618286.0,0.0,0.0,0.0,0.0,0.0
2001.0,DF,31730463.0,891.0,37039314.0,32143013.0,1380.0,24952394.0,14272070.0,110150053.0,114928832.0,1032762784.0,5958303326.0,927481126.0,84073985.0,548752696.0,418814003.0,2350809.0,0.0,3755276992.0,1932563561.0,0.0,0.0,749753571.0,0.0,0.0,471187414.0,0.0,0.0,0.0,0.0,873756764.0,0.0,2944378.0,0.0,0.0,0.0,0.0,1144951227.0,0.0,0.0,0.0,0.0,0.0
2001.0,ES,733808122.0,600.0,38158882.0,5604797.0,28004690.0,450357930.0,80664203.0,48068672.0,18914.0,203203734.0,136114573.0,29217465.0,23120907.0,23423823.0,5708943.0,2221405.0,0.0,961797.0,571994971.0,0.0,0.0,152079085.0,0.0,0.0,113306868.0,0.0,0.0,0.0,0.0,45722270.0,0.0,4214195.0,0.0,0.0,0.0,0.0,9597400.0,0.0,0.0,0.0,0.0,0.0
2001.0,GO,120033407.0,3528560.0,40274521.0,61788236.0,28437106.0,78746846.0,39362401.0,55079136.0,1023855.0,185436317.0,134181017.0,20189357.0,10589430.0,23691433.0,18121907.0,15179201.0,0.0,56969335.0,544569318.0,0.0,0.0,131976706.0,0.0,0.0,116596790.0,0.0,0.0,0.0,0.0,63257890.0,0.0,2670426.0,0.0,0.0,0.0,0.0,3642764.0,0.0,0.0,0.0,0.0,0.0
2001.0,MA,21100300.0,28776.0,11330950.0,29320948.0,0.0,11408278.0,20555393.0,16985785.0,712414.0,34941720.0,42448082.0,10407549.0,3068376.0,5976385.0,1836421.0,2299831.0,0.0,8468484.0,133175909.0,0.0,0.0,53813069.0,0.0,0.0,25070016.0,0.0,0.0,0.0,0.0,56588683.0,0.0,107789.0,0.0,0.0,0.0,0.0,1523036.0,0.0,0.0,0.0,0.0,0.0
2001.0,MG,486997525.0,5647678.0,155350459.0,128766460.0,586358508.0,280645977.0,691752053.0,277466137.0,77760941.0,884981299.0,875986989.0,259997864.0,141458919.0,108060200.0,55611507.0,26884421.0,0.0,199985179.0,2905663461.0,0.0,0.0,681246118.0,0.0,0.0,581981907.0,0.0,0.0,0.0,0.0,293538601.0,0.0,120208008.0,0.0,0.0,0.0,0.0,70212970.0,0.0,0.0,0.0,0.0,0.0
2001.0,MS,6101253.0,1475690.0,10937638.0,1756734.0,0.0,2008637.0,7613365.0,38738644.0,112737.0,47216024.0,50844929.0,12712545.0,1403762.0,4866274.0,1315569.0,12146960.0,0.0,3754353.0,150185208.0,0.0,0.0,50896249.0,0.0,0.0,33733147.0,0.0,0.0,0.0,0.0,43990423.0,0.0,213908.0,0.0,0.0,0.0,0.0,1676677.0,0.0,0.0,0.0,0.0,0.0
2001.0,MT,11067663.0,1530632.0,16912336.0,27107648.0,0.0,5934680.0,8105350.0,24965537.0,62558.0,65311840.0,61287799.0,7696493.0,16685825.0,4788742.0,927102.0,14657087.0,0.0,15870195.0,196240413.0,0.0,0.0,74076431.0,0.0,0.0,55133624.0,0.0,0.0,0.0,0.0,51259127.0,0.0,320516.0,0.0,0.0,0.0,0.0,1985325.0,0.0,0.0,0.0,0.0,0.0
