Caminhos Mais Curtos:
RR -> 2000.0: 1
RR -> 2001.0: 1
RR -> 2002.0: 1
RR -> 2003.0: 1
RR -> 2004.0: 1
RR -> 2005.0: 1
RR -> 2006.0: 1
RR -> 2007.0: 1
RR -> 2008.0: 1
RR -> 2009.0: 1
RR -> 2010.0: 1
RR -> 2011.0: 1
RR -> 2012.0: 1
RR -> 2013.0: 1
RR -> 2014.0: 1
RR -> 2015.0: 1
RR -> 2016.0: 1
RR -> 2017.0: 1
RR -> 2018.0: 1
RR -> 2019.0: 1
RR -> 2020.0: 1
RR -> 2021.0: 1
RR -> 2022.0: 1
RR -> 2023.0: 1
RR -> 2024.0: 1
RR -> PA: 2
RR -> PI: 2
RR -> AC: 2
RR -> TO: 2
RR -> RJ: 2
RR -> RO: 2
RR -> RS: 2
RR -> MS: 2
RR -> PB: 2
RR -> AP: 2
RR -> DF: 2
RR -> BA: 2
RR -> PE: 2
RR -> RN: 2
RR -> ES: 2
RR -> AL: 2
RR -> MA: 2
RR -> MT: 2
RR -> PR: 2
RR -> GO: 2
RR -> SC: 2
RR -> SP: 2
RR -> AM: 2
RR -> SE: 2
RR -> MG: 2
RR -> CE: 2
RS -> RS: 0
RS -> 2000.0: 1
